rule_number,lhs,rhs,confidence,lift,leverage,conviction
193,['106. PATRóN DE ANTICUERPOS ANTINUCLEARES O ANA=101_1'],['105. ANTICUERPOS ANTINUCLEARES O ANA=100_1'],1.0,2.24,0.17,450.9
295,"['97+=97+_1', '139. DOSIS DE CORTICOIDES FORMULADA HACIENDO EQUIVALENCIA A PREDNISOLONA EN MILIGRAMOS DIARIOS (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA O SIMILARES)=[0.00, 2.50)']","['96+=96+_1', '138. NOMBRE DEL CORTICOIDE FORMULADO (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA)=132_0']",0.92,1.81,0.17,5.99
302,['138. NOMBRE DEL CORTICOIDE FORMULADO (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA)=132_1'],"['139. DOSIS DE CORTICOIDES FORMULADA HACIENDO EQUIVALENCIA A PREDNISOLONA EN MILIGRAMOS DIARIOS (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA O SIMILARES)=[5.00, 70.00)']",0.91,2.31,0.19,6.99
305,"['97+=97+_1', '37. TIEMPO EN MESES QUE RECIBIO LEFLUNOMIDA=[0.00, 6.00)', '139. DOSIS DE CORTICOIDES FORMULADA HACIENDO EQUIVALENCIA A PREDNISOLONA EN MILIGRAMOS DIARIOS (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA O SIMILARES)=[0.00, 2.50)']","['96+=96+_1', '138. NOMBRE DEL CORTICOIDE FORMULADO (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA)=132_0']",0.91,1.8,0.15,5.48
385,"['96+=96+_1', '139. DOSIS DE CORTICOIDES FORMULADA HACIENDO EQUIVALENCIA A PREDNISOLONA EN MILIGRAMOS DIARIOS (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA O SIMILARES)=[0.00, 2.50)']","['97+=97+_1', '138. NOMBRE DEL CORTICOIDE FORMULADO (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA)=132_0']",0.85,1.81,0.17,3.5
426,"['139. DOSIS DE CORTICOIDES FORMULADA HACIENDO EQUIVALENCIA A PREDNISOLONA EN MILIGRAMOS DIARIOS (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA O SIMILARES)=[5.00, 70.00)']",['138. NOMBRE DEL CORTICOIDE FORMULADO (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA)=132_1'],0.83,2.31,0.19,3.78
435,"['97+=97+_1', '138. NOMBRE DEL CORTICOIDE FORMULADO (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA)=132_0']","['96+=96+_1', '139. DOSIS DE CORTICOIDES FORMULADA HACIENDO EQUIVALENCIA A PREDNISOLONA EN MILIGRAMOS DIARIOS (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA O SIMILARES)=[0.00, 2.50)']",0.83,1.81,0.17,3.12
432,"['96+=96+_1', '37. TIEMPO EN MESES QUE RECIBIO LEFLUNOMIDA=[0.00, 6.00)', '139. DOSIS DE CORTICOIDES FORMULADA HACIENDO EQUIVALENCIA A PREDNISOLONA EN MILIGRAMOS DIARIOS (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA O SIMILARES)=[0.00, 2.50)']","['97+=97+_1', '138. NOMBRE DEL CORTICOIDE FORMULADO (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA)=132_0']",0.83,1.76,0.14,3.09
444,"['97+=97+_1', '138. NOMBRE DEL CORTICOIDE FORMULADO (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA)=132_0', '37. TIEMPO EN MESES QUE RECIBIO LEFLUNOMIDA=[0.00, 6.00)']","['96+=96+_1', '139. DOSIS DE CORTICOIDES FORMULADA HACIENDO EQUIVALENCIA A PREDNISOLONA EN MILIGRAMOS DIARIOS (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA O SIMILARES)=[0.00, 2.50)']",0.82,1.79,0.15,2.95
490,"['37. TIEMPO EN MESES QUE RECIBIO LEFLUNOMIDA=[0.00, 6.00)', '127. NUMERO DE ARTICULACIONES INFLAMADAS=[0.00, 1.61)']",['96+=96+_1'],0.81,0.99,-0.0,0.94
472,['106. PATRóN DE ANTICUERPOS ANTINUCLEARES O ANA=101_0'],['96+=96+_1'],0.81,0.99,-0.01,0.95
473,"['107. TíTULO DE ANTICUERPOS ANTINUCLEARES O ANA=[0.00, 80.00)']",['96+=96+_1'],0.81,0.99,-0.01,0.95
491,"['37. TIEMPO EN MESES QUE RECIBIO LEFLUNOMIDA=[0.00, 6.00)']",['96+=96+_1'],0.81,0.99,-0.01,0.94
493,"['105. ANTICUERPOS ANTINUCLEARES O ANA=100_0', '37. TIEMPO EN MESES QUE RECIBIO LEFLUNOMIDA=[0.00, 6.00)']",['96+=96+_1'],0.81,0.99,-0.01,0.93
494,"['106. PATRóN DE ANTICUERPOS ANTINUCLEARES O ANA=101_0', '37. TIEMPO EN MESES QUE RECIBIO LEFLUNOMIDA=[0.00, 6.00)']",['96+=96+_1'],0.81,0.99,-0.01,0.93
495,"['37. TIEMPO EN MESES QUE RECIBIO LEFLUNOMIDA=[0.00, 6.00)', '107. TíTULO DE ANTICUERPOS ANTINUCLEARES O ANA=[0.00, 80.00)']",['96+=96+_1'],0.81,0.99,-0.01,0.93
513,"['37. TIEMPO EN MESES QUE RECIBIO LEFLUNOMIDA=[0.00, 6.00)', '148. DOSIS DE LEFLUNOMIDA FORMULADA EN MILIGRAMOS A LA SEMANA=[0.00, 80.00)']",['96+=96+_1'],0.8,0.98,-0.01,0.91
514,['138. NOMBRE DEL CORTICOIDE FORMULADO (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA)=132_0'],['96+=96+_1'],0.8,0.98,-0.01,0.9
