rule_number,lhs,rhs,confidence,lift,leverage,conviction
41,['106. PATRóN DE ANTICUERPOS ANTINUCLEARES O ANA=101_1'],['105. ANTICUERPOS ANTINUCLEARES O ANA=100_1'],1.0,1.8,0.14,275.86
57,"['97+=97+_1', '106. PATRóN DE ANTICUERPOS ANTINUCLEARES O ANA=101_1']",['105. ANTICUERPOS ANTINUCLEARES O ANA=100_1'],1.0,1.8,0.14,265.64
58,"['96+=96+_1', '106. PATRóN DE ANTICUERPOS ANTINUCLEARES O ANA=101_1']",['105. ANTICUERPOS ANTINUCLEARES O ANA=100_1'],1.0,1.8,0.14,263.86
64,"['96+=96+_1', '97+=97+_1', '106. PATRóN DE ANTICUERPOS ANTINUCLEARES O ANA=101_1']",['105. ANTICUERPOS ANTINUCLEARES O ANA=100_1'],1.0,1.8,0.14,261.64
115,"['96+=96+_1', '106. PATRóN DE ANTICUERPOS ANTINUCLEARES O ANA=101_1']","['97+=97+_1', '105. ANTICUERPOS ANTINUCLEARES O ANA=100_1']",0.99,1.89,0.14,46.94
118,"['97+=97+_1', '106. PATRóN DE ANTICUERPOS ANTINUCLEARES O ANA=101_1']","['96+=96+_1', '105. ANTICUERPOS ANTINUCLEARES O ANA=100_1']",0.98,1.88,0.14,28.42
153,['106. PATRóN DE ANTICUERPOS ANTINUCLEARES O ANA=101_1'],"['97+=97+_1', '105. ANTICUERPOS ANTINUCLEARES O ANA=100_1']",0.96,1.83,0.14,12.27
170,['106. PATRóN DE ANTICUERPOS ANTINUCLEARES O ANA=101_1'],"['96+=96+_1', '105. ANTICUERPOS ANTINUCLEARES O ANA=100_1']",0.96,1.82,0.14,10.54
189,['106. PATRóN DE ANTICUERPOS ANTINUCLEARES O ANA=101_1'],"['96+=96+_1', '97+=97+_1', '105. ANTICUERPOS ANTINUCLEARES O ANA=100_1']",0.95,1.85,0.14,9.19
450,"['96+=96+_1', '139. DOSIS DE CORTICOIDES FORMULADA HACIENDO EQUIVALENCIA A PREDNISOLONA EN MILIGRAMOS DIARIOS (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA O SIMILARES)=[10.00, 75.00)']",['138. NOMBRE DEL CORTICOIDE FORMULADO (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA)=132_1'],0.88,1.36,0.09,2.89
473,"['139. DOSIS DE CORTICOIDES FORMULADA HACIENDO EQUIVALENCIA A PREDNISOLONA EN MILIGRAMOS DIARIOS (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA O SIMILARES)=[10.00, 75.00)']",['138. NOMBRE DEL CORTICOIDE FORMULADO (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA)=132_1'],0.88,1.35,0.09,2.82
469,"['96+=96+_1', '97+=97+_1', '139. DOSIS DE CORTICOIDES FORMULADA HACIENDO EQUIVALENCIA A PREDNISOLONA EN MILIGRAMOS DIARIOS (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA O SIMILARES)=[10.00, 75.00)']",['138. NOMBRE DEL CORTICOIDE FORMULADO (PREDNISOLONA// DEFLAZACORT// METILPREDNISOLONA)=132_1'],0.88,1.35,0.08,2.84
