rule_number,lhs,rhs,confidence,lift,leverage,conviction
461,['106. PATRóN DE ANTICUERPOS ANTINUCLEARES O ANA=101_1'],['105. ANTICUERPOS ANTINUCLEARES O ANA=100_1'],1.0,1.84,0.15,704.47
463,"['106. PATRóN DE ANTICUERPOS ANTINUCLEARES O ANA=101_1', '37. TIEMPO EN MESES QUE RECIBIO LEFLUNOMIDA=[0.00, 225.00)']",['105. ANTICUERPOS ANTINUCLEARES O ANA=100_1'],1.0,1.84,0.15,704.47
465,['106. PATRóN DE ANTICUERPOS ANTINUCLEARES O ANA=101_1'],"['105. ANTICUERPOS ANTINUCLEARES O ANA=100_1', '37. TIEMPO EN MESES QUE RECIBIO LEFLUNOMIDA=[0.00, 225.00)']",1.0,1.84,0.15,704.47
485,"['106. PATRóN DE ANTICUERPOS ANTINUCLEARES O ANA=101_1', '148. DOSIS DE LEFLUNOMIDA FORMULADA EN MILIGRAMOS A LA SEMANA=[100.00, 140.00)']",['105. ANTICUERPOS ANTINUCLEARES O ANA=100_1'],1.0,1.84,0.14,686.65
487,"['106. PATRóN DE ANTICUERPOS ANTINUCLEARES O ANA=101_1', '37. TIEMPO EN MESES QUE RECIBIO LEFLUNOMIDA=[0.00, 225.00)', '148. DOSIS DE LEFLUNOMIDA FORMULADA EN MILIGRAMOS A LA SEMANA=[100.00, 140.00)']",['105. ANTICUERPOS ANTINUCLEARES O ANA=100_1'],1.0,1.84,0.14,686.65
489,"['106. PATRóN DE ANTICUERPOS ANTINUCLEARES O ANA=101_1', '148. DOSIS DE LEFLUNOMIDA FORMULADA EN MILIGRAMOS A LA SEMANA=[100.00, 140.00)']","['105. ANTICUERPOS ANTINUCLEARES O ANA=100_1', '37. TIEMPO EN MESES QUE RECIBIO LEFLUNOMIDA=[0.00, 225.00)']",1.0,1.84,0.14,686.65
497,"['97+=97+_1', '106. PATRóN DE ANTICUERPOS ANTINUCLEARES O ANA=101_1']",['105. ANTICUERPOS ANTINUCLEARES O ANA=100_1'],1.0,1.84,0.14,681.62
499,"['97+=97+_1', '106. PATRóN DE ANTICUERPOS ANTINUCLEARES O ANA=101_1', '37. TIEMPO EN MESES QUE RECIBIO LEFLUNOMIDA=[0.00, 225.00)']",['105. ANTICUERPOS ANTINUCLEARES O ANA=100_1'],1.0,1.84,0.14,681.62
501,"['97+=97+_1', '106. PATRóN DE ANTICUERPOS ANTINUCLEARES O ANA=101_1']","['105. ANTICUERPOS ANTINUCLEARES O ANA=100_1', '37. TIEMPO EN MESES QUE RECIBIO LEFLUNOMIDA=[0.00, 225.00)']",1.0,1.84,0.14,681.62
531,"['107. TíTULO DE ANTICUERPOS ANTINUCLEARES O ANA=[320.00, 10240.00)']",['105. ANTICUERPOS ANTINUCLEARES O ANA=100_1'],1.0,1.84,0.14,678.42
533,"['37. TIEMPO EN MESES QUE RECIBIO LEFLUNOMIDA=[0.00, 225.00)', '107. TíTULO DE ANTICUERPOS ANTINUCLEARES O ANA=[320.00, 10240.00)']",['105. ANTICUERPOS ANTINUCLEARES O ANA=100_1'],1.0,1.84,0.14,678.42
535,"['107. TíTULO DE ANTICUERPOS ANTINUCLEARES O ANA=[320.00, 10240.00)']","['105. ANTICUERPOS ANTINUCLEARES O ANA=100_1', '37. TIEMPO EN MESES QUE RECIBIO LEFLUNOMIDA=[0.00, 225.00)']",1.0,1.84,0.14,678.42
